Content,Date
"If I could give 0 stars I would. My family has used Netflix for over 7 years but recently with their “password sharing” rules it is no longer worth the money in my opinion. You pay almost $16/month for mediocre shows and movies and if you are a college student living away from home, you’re considered no longer a part of the house hold and required to pay $7.99/month on top of the standard cost just to be able to watch it on your tv. The only reason I’d watch is for the 2 actually good tv shows they put out once a year. Save your money and use other platforms that are more worth it.",2023-01-07
"Stop trying to make more money this way. I have been using the same tv, WiFi, and house for over 5 years and randomly this update will tell me that my tv isn’t a part of my household. First of all, yes it is and it has been for forever, second of all, so what if it isn’t?? Why can’t we share accounts? Just because Netflix wants more money doesn’t mean your users should have to suffer. This is by far the dumbest update from Netflix and should be discontinued or at least be more effective to the tvs who actually aren’t in my household not messing up the ones that are.",2023-01-05
"My sister and I are living at two different colleges, and our parents are divorced so we have 2 homes. A family of 4 now has to spend $52 a month to each watch Netflix. FIFTY TWO DOLLARS A MONTH ARE YOU FOR REAL???? You’ll be lucky if you have a company at all in 10 years time you moronic piece of capitalism trash. Price breakdown: Premium account allows 2 additional members that’s 3 people for $36, and 1 more standard account is $16 = $52 for 4 people). Netflix Managment I wish each of you nothing but pain, hardship, and misery for years to come. - Love, Sydney",2023-01-07
"The good movies/series are getting removed. Like Fast &amp; Furious ( Tokyo Drift ) and Fast &amp; Furious. It’s okay to remove some shows but you guys need to stop removing the classics and the good ones. When someone watches it people are gonna get hooked too and would wanna watch it for themselves. And they’re gonna ask where to watch it. If you say HBO Max or Hulu or something, people might not watch it because they don’t have it or can’t get it. All they have is Netflix for that matter. So if you really want clicks or money don’t remove the good shows",2023-01-06
"I’ve set a pin so that the full library is not easily accessible by my children by TV remote. Worked fine for years. Today on my phone the PIN keyboard stopped working in an odd way the keyboard for pin entry is on landscape mode and NOT usable while my phone is in portrait mode. Rebooting phone. Uninstalling and reinstalling didn’t fix it. I tried messaging Netflix customer support and was told to talk to apple. I suspect it’s the Netflix update from 2 days ago has a bug. Hope they fix it soon.
10/12/23 Updated to Version 16.3.1 BUG PERSISTS.",2023-01-05
"ok, this app is great and awesome because it’s fully free. But is it so great when finding what you wanna watch? yes, they ALWAYYYYS take out the good and the only shows/movies people want to watch, like what the? I understand people might think “how else are they gonna make money?” “they can’t give us the best app ever” I understand but they seriously have to take out the least popular ish ones. they’ve been making people upset over the good shows/ movies, but they actually have to make a downloaded feel welcomed and happy.",2023-01-05
"Hi. I like shows on Netflix but you keep trashing them and there’s a lot of good shows. Like Jinxed, it has the leaving soon on it. I love that show but you guys are cancel are cancelling all the good shows and leave the bad shows. I have a long history with some shows that I have been watching since I was 3. F.Y.I I'm 8 years old. So I've been watching a lot of good shows. I get that your getting rid of old shows like Sailor Moon
But that doesn’t affect me ‘cause I don’t that show but please, stop
removing shows! 🤬",2023-01-05
"The documentaries are skewed by who makes them. No real trusted impartial journalism anymore. Giving legitimacy to corrupt voices is wrong in any context without proper disclosure of the corruption (both ethical and moral are denied in some documentaries, yet their voices are heard as truth). New content is crap. The scripted “reality tv” market is overdone and gross. The price keeps going up while the content goes down. This is the streaming service I could do without and contemplating the relevance currently.",2023-01-05
Listen bruh my parents are divorced and they tryna use the same account AND YOU GUYS HAD A NEW UPDATE NOW WE CANT SHARE PASSWORDS but listen that’s not my point IM TRYINGG TO WATCH SOME MY LITTLE PONY AND I CANT AND MMY MOM DONT FEEL LIKE MAKING A ACCOUNT SO FIX THIS BEFORE I SUE YOU OK BRAH IM TRYNA HAVE A PEACEFUL DAY WATCINGG MY LITTLE PONY I’m sorry it had to go this way ok? Just fix it and I will give you 5 stars otherwise it’s all good FIX ITT NOW OK thank you Netflix I love you Netflix 😘😘,2023-01-05
you fr gonna take my netflix away bc i have divorced parents. i hope it was worth it bc if i could rate you guys a 0 i would. FIRST YOU GUYS SNITCH ON SOAP2DAY then u wanna say we have to be under the same wifi. you guys made a big mistake and i hope everyone stops using netflix because i sure will. i’ll be fine with my Hulu HBO and yt tv. you guys can be greedy all u want but you guys are just losing more money and i hope who ever is in charge fixes this because you guys are actually stupid.,2023-01-05
"The fact that netflix seriously has the nerve to kick me out of the app because “my tv is not a part of the account household.” For 1. If you don’t want the account to be shared, do not create the option to make multiple profiles. For 2. This app is nowhere near good enough for me to WANT to create an entire new account when my brother already pays for it. Most of the shows are crap, they never have anything good and when they do, they take it down. Overall, I’ll NEVER use this app again.",2023-01-02
"The new “household” system is completely bananas. Not only has Netflix massively reduced the number of decent titles available on their service, but they’ve also massively increased the price. On top of all of this, if I want to use my own account at a different house, I have to jump through hoops just to say I’m “traveling”. Really?

I’ve cancelled my account. Every single title on Netflix is available elsewhere for considerably cheaper and is far easier to access. Never going back!",2023-01-04
"Netflix was great while we had it but with the new member add on, I will be having to pay $14 extra a month just because my kids in college. It is beyond frustrating that we have to spend more money out of pocket and it makes netflix seems like a money hog. Very unfortunate that a multimillion dollar company is using our situation to make money off of. If you have kids that are in college or live away from home, Netflix is the last streaming platform I would recommend!",2023-01-07
"works really well. I wish I could have a filter available to make it easier to find English speaking content. It’s not what it was but still works and it’s very reliable streamer app. Just too much content not in my language which is English. It’s really time consuming trying to remember something is not English so you watch the trailers if there’s one available. Language filter is desperately needed, any regular user knows this. But will it happen, doubtful.",2023-01-05
Hey there is something wrong with this appl it’s no longer allowing you to forward rewind or pause when using this on Apple TV. What ends up happening is loss of volume and sound and you have to restart show all over again from beginning so you have to end up watching it multiple times to see parts where you missed a scene because you can no longer pause or go back. Very annoying so I have stopped watching Netflix until this gets fixed. Thank you,2023-01-03
"Due to their new anti password sharing update I cannot watch their poorly scripted Netflix originals with bad costume designs simply because I am away for college. What is the point of having a MOBILE app if you cannot be MOBILE with the app.  If someone is paying for 5 screens/ profiles, who cares which screens they are and where they are being used. Netflix is not that good for me to pay for my own account so I guess this is the end of an era.",2023-01-05
"Everything in life is a subscription now these days. We all chipped in to lessen the cost of Netflix and enjoy it, now we have to ether pay way more, or go solo with it. With everything else people have to pay for, this was one that was enjoyable, because people helped and made it the best and cheapest streaming service. Is it a lot of money? No. Does it add up when you have no choice but to subscribe to everything else in life? Absolutely.",2023-01-05
"this update seems super inconsiderate to customers. they’re increasing the cost &amp; dictating where you can and can’t use this service. it doesn’t make sense, if you are paying the full price you should have the freedom to watch wherever you are. they’re forgetting that the people are the ones keeping them in business, not their terrible shows. there are so many better streaming services, netflix has fallen so far from what it used to be",2023-01-02
"This whole change to who can watch and where is really money hungry. My family pays the premium membership but would have to pay extra because I’m in college away from home? We pay for the screens we should be able to use them within our family regardless of where the family member is. $19.99 dollars a month + $7.99 when the selection isn’t great and the good original series get cancelled isn’t worth it, Netflix keeps going down hill.",2023-01-03
So i was watching total drama and i got off of it to play with my younger sister and i go on and when i clicked it it showed me the episode before i got off of it so i skipped it and i was half way through the episode so now i have to start it again. My 2 reason it has been glitchy so i tried to skip the recap and i tried it like 5 times and it wouldnt stop so i clicked out of the show and it did the same thing. They can do better!,2023-01-03
"First of all yes netflix is not bad so i gave it 2 starts for that but i think yall need to add more movies like AVATAR THE WAY OF WATER or AVATARRRRR by James Cameroon like no one wants another season of Big Mouth no ones watches that, yall are taking out all the good stuff to add another 20 seasons to stupid big mouth, add some disney movies or something like chop chop get it together. Anyway hopefully yall read this 😁",2023-01-07
"My name is Stacy Robinson. My three children Bella, Mila, and Sophia are crying right now because you removed their favorite show Ouran Highschool Host Club from Netflix. This is UNACCEPTABLE!! YOU ALSO REMOVED MEAN GIRLS, THAT IS MY FAVORITE SHOW. THIS IS NOT OKAY. MY FACEBOOK AND TWITTER FRIENDS AGREE WITH ME ON THIS!!!! ADD ALL SHOWS BACK. I AM NOT ASKING!!! I AM TELLING!!!!

From,

Stacy Robinson,

OWNER OF ROBLOX",2023-01-07
"I can't sign in on the app. I have gone through every single troubleshooting step from the help center, and it fixed nothing. I even reset the app via iOS settings. The app continues to say there is a network issue, and I am 100% certain my iphone is not having network issues. How do I know that? I am able to sign in to Netflix using the Safari browser on the same iphone, so I guess the official Netflix app is broken",2023-01-05
So in order to use this product you have to use another device to make an account. That’s very inconvenient; and they acknowledge it but yet they don’t do anything to change it? I dislike the bundles… Netflix just isn’t what it use to be and it’s actually Pathetic… we had a good thing… but Netflix changed… no more Netflix &amp; Chill… it’s Hulu &amp; Woohoo now… at least Hulu throws in Disney+ to spice up the deal…,2023-01-07
"I am a frequent traveler. I travel for months and I love streaming Netflix in a TV using the QR code so I can save my cellphone battery. I also bring my roku to plug in the hotel or air bnb. This option is gone. It wants the same wifi system? Not good for plug in roku, amazon sticks, or any travel sticks anymore. It’s looking for the same wifi system. I don’t recommend it for frequent travelers.",2023-01-06
"it seems like every new show I start watching ends up having its second season cancelled, whats up with that? Even if its getting amazing ratings and its ranked high, netflix gives barely the chance for shows to at least grow and gain more viewers. Once the second season gets officially cancelled, viewers drop anyways because they dont want to have an satisfying ending. It’s seriously annoying.",2023-01-03
"I love Netflix but some things could be added like of you don’t want your child seeing a show, or movie you could band it. Also a comment section would be amazing you could tell people your opinion or the best parts. Netflix could also add themes I know the colors are black and red but it would be more fun if you could choose you own colors but overall this is a really good app would recommend!",2023-01-03
"I saw a preview for BURNT, and I had hesitated to watch this movie for years. But the preview was intriguing. So I headed to Netflix to watch. While the movie was amazing (in theaters it would have been brilliant!), there was one (or more) crucial scenes cut out! How frustrating to watch an anticipated movie only to have it incomplete! Whatever your reasons for sliming down films, stop. Please.",2023-01-06
"No good shows. Jacking up the prices. Horrible interface. Non helpful customer service. Not allowing household sharing because we are in separate houses at the moment.

Netflix this is honestly ridiculous. Theres so many other streaming services out there. I will not be purchasing a separate subscription when my family and i have been on the same one just fine for over a decade...

Greedy.",2023-01-02
"Netflix, by not allowing your customers to use VPNs with your product you are encouraging unsafe practices when using the internet and encouraging long time users who prioritize safety to go elsewhere to stream.

I know this will hurt your business model and bottom line.

Wouldn’t it be better to use the (Amazon) Prime model and charge a subscription to each additional countries market?",2023-01-07
"It’s my account and when our Wi-Fi goes out because we live in the country and I have to buy extra hot spot on my phone I cannot verify another tv bc I’m only using the one on the hotspot
Why am I being asked to verify my tv every other week this is the fifth time?!!!! Plz stop doing this or I’m leaving Netflix my parents are older and they are tired of doing the same update as well",2023-01-06
I miss the Netflix that I could login anywhere on anything but now I have to have a code and say I’m traveling. I hate the only one household thing because what happened to this was a household app I have other family members that would rather use one that’s already getting paid for then getting their own. I really don’t wanna use Netflix anymore because of this new feature,2023-01-07
"So i heard you canceled another collab with fortnite and alot of people have been asking for another stranger things collab including me and by canceling you are problably making other people feel let down, like you’re not listening so if they give you another chance please just do the collab and i will make this five stars ok? ps-not a threat im just asking please.",2023-01-06
I’m very much NOT liking the new update of only being able to use the same account in the same household. My parents live separately and we all use our family account still! What do you’re telling me my mom has to start paying 699 and my dad just has this entire account to himself now?? It’s a waste and it’s by far the WORST decision you guys have had to make!!!!,2023-01-05
They changed their policies to only having one account in one household but if you upgrade they can charge you more for multiple household but this upgrade still doesn’t work. We still cannot use the same account in different household. Netflix just keeps getting worse. We’re tired and just canceling subscription . I’d recommend using different streaming services,2023-01-06
"Switched from watching in living room to watching in bedroom as I’m going to bed and Netflix asks me to upgrade to 2 accounts.  Won’t let me watch anything.  I thought you had the best engineers. This is embarrassing and a harassment of your customers.  I don’t understand why you feel need to piss off you customers constantly now

Would give 0 stars if i could",2023-01-05
"Netflix is such a great app to watch shows! There is not many ads is which I love so very much, keep up this work you are developing, its overall super amazing. Lots of my favorite TV shows are here, which is super cool, however, i keep getting logged out of my accounts, atleast once or twice. So maybe u can fix that bug? But after all of that, ITS AMAZING!!",2023-01-07
this new household thing is annoying. does it to every tv in the household and not everyone has access to the email so half the time i can’t even watch netflix because i can’t approve of my tv being in the household even though i already have MULTIPLE TIMES. it’s seriously becoming an issue and i never write reviews but this is getting on everyone’s nerves,2023-01-07
The status bar time and battery persists while viewing episodic content. It hides automatically while viewing movies. It hides automatically viewing videos on any other app also. So this is strictly a Netflix bug. I’ll happily change my rating to five stars when you guys fix it. Have to get your attention somehow 🤷‍♂️ This has gone on for far too long.,2023-01-03
Netflix has been great until recently. There’s no reason I should be paying for a family account and then my kids also hav3 to pay for their own Netflix account because they don’t still live with me. This is stupid! There’s too many streaming platforms out there today for them to be doing stupid stuff like this. I will be be subscribing.,2023-01-04
I have always used Netflix. But tell me why I can’t watch Netflix at my home during the week and at my cabin on the weekends. I’m paying your overpriced fees. And yet I can’t use the service I PAY for because I own a business and travel on the weekends to it. What.  a.  joke. Wish I could give zero stars because that’s what it deserves.,2023-01-04
I mean like what’s the point of taking the movies down if your gonna put it back on after like millions of people pay like 30-50 dollars for a movie.Also you could be taking down someone childhood movie that they might have been watching since they were born like pls don’t take down anymore movies that you know have a good rating,2023-01-07
"I hate Netflix now, they keep removing actual good movies and shows I wanted to show my friend The Breakfast Club and Netflix removed it. There aren’t really any good shows or movies I do still watch some good ones (I recommend Kim’s Convenience) but I really wish they kept old movies and shows on there, Netflix is garbage now.",2023-01-07
Soooo the only reason I gave it a 3 and not a 1 is because they haven’t cancelled heartstopper but overall Netflix is going down hill fast because the prices are going up so they are losing business and then they think it’s because the movies are doing bad… THEY ARE NOT DOING BAD so that is my complaint:) have a nice day!!,2023-01-04
I will never believe a documentary that Netflix puts out again. The amount of info left out of Steven Avery case is unacceptable. Thankful that Candace Owens and the team set the record straight on Daily Wire. My faith in Manitowoc County Sheriffs is restored and my anger with Netflix deceiving us will not be forgotten!,2023-01-07
I had a family plan and share with my daughter who lives in a different city with her mother. The new password sharing policy means I can no longer use the family plan because we are not located in the same physical space. I’m spending too much on streaming anyway so Netflix made the cancel decision easy. Goodbye!,2023-01-01
"Ever since, they came up with the tracking of how many devices can login to the account. I been a customer since 2010 and got charged 26 last month, got hacked by their own system. Top it off It kicks me out from the same tv device and requires for me to change the password constantly. It’s becoming a headache!",2023-01-05
Netflix you have been my partner in crime but after THIS YEAH YOU BETTER KNOW I AM NOT YOUR BESTIE NO MORE. I was watching Netflix and I was thinking “oh I should watch home” I searched it up to see that is gonna leave.. ON MY BIRTHDAY?! My FAVORITE movie. Leaving on MY birthday. Netflix how could you..,2023-01-07
"I like Netflix, it’s pretty good but the only thing I don’t like about it is that you guys keep deleting shows. I can’t believe that you guys got rid of operation ouch I loved it so much and the only thing I can watch it on is on YouTube and my parents won’t let me on that but overall pretty dang good.",2023-01-07
I have to call my wife at while she is working and because I’m in a different time zone?  Just to use my Netflix that I pay for because it’s a different tv that I am streaming to are u f%^^ing kidding me?! You want money so I can stream to a smart tv while I’m traveling I’m done paying for this crap.,2023-01-06
I absolutely hate the way Netflix is constantly changing the cover art of movies. Every time I look they are using a different image for a movie I added to my list or am currently watching. Extremely irritating and makes me want to go back to watching DVDs in peace without all their distracting B.S.,2023-01-07
Netflix is great but they changed the settings so that you can only have the tvs in your house connected to your account. I am a college student that lives in a dorm and now can not use my parent’s account. This is very saddening because I am broke and will not be able to afford the subscription.,2023-01-03
"How can you charge 20 some odd dollars a month for mediocre woke TV shows, with a screen limitation, and THEN not even allow families to share accounts if they use separate internet? It’s 2023, no one’s making an account when they can get double the entertainment for half the price elsewhere.",2023-01-07
"I Loge Netflix so much but please add a pre-teen/teen section because after pg it goes pg 13 too tv-ma to R. I just want to have shows older kids can watch and it’s not that inappropriate

2nd thing: please add good shows and not like masha and the bear and Lyly crocodile

Hope this helps",2023-01-04
Now hear me out… you made it so that i can only watch netflix at my dads house and not my moms. not everybody got netflix money. It seems like that’s your way of saying you hate me and my mother and additionally you hate poor people. I’m beyond disappointed and disgusted at this behavior.,2023-01-02
This app is becoming horrible they took of mean girls and the Lorax and etc they are taking of all the good shows and movies Netflix is loading lots of people because people and ranting all over social media about Netflix and how horrible it is I don’t think I will be using it ever again.,2023-01-06
There was a time when y’all claimed password sharing didn’t effect your business and that you actually saw increase in customers. To see netflix (and other streaming services) begin a witch hunt for password sharers looks like customers are just gonna start moving back to cable tv.,2023-01-07
"I wish there were better options, the platform is tired, the app is terribly maintained, the organization topped the hill a decade ago. Let it go and move on to something worth your time and money because the price has gone far beyond being worth the absolute minimum effort put in.",2023-01-07
"I’m a paying customer, paying $15.99/month and this stupid company won’t let me watch inside my own home.  No matter what I do, their verification algorithm won’t let me confirm my TV, even though it’s on the same WiFi network.  Greedy Reed Hastings, Ted Sarandos and Greg Peters.",2023-01-01
I pay for 5 users and Netflix will not let any of the other four access the account anymore because they all moved out of the house. This is Greed and Will lose me as a customer forever. Bedsides your movies have to much politically correct gay hollywood agenda. My wife agreed!,2023-01-08
So I tried to watch battle kitty and get to pick the levels and stuff. I tried my TV but it said my tv can’t do it. And now I tried it on my phone… Now it says that I need to “update” and i literally have it updated and it doesn’t need a update. PLEASE tell me how to do it 😭,2023-01-05
Overall GREAT App but I’m having problems getting in because I got logged out for some reason so if they could give information twice that would be better or just save the password and username but I could just  be stupid right now you don’t have to do it but I would like it,2023-01-07
"Bring back mini player mode please!
We often use Netflix while doing other things like paying bills or email or what not but after agreeing to have ads on our account, we can no longer use it that way. It does not allow you to have what you’re watching in mini player mode.",2023-01-06
You should not remove home. It is a good movie. It is the best movie even though I watch it once in a while I still love that movie and think it should be put on your app. This is my review and other people agree with it but I hope you take the decision to leave it there.,2023-01-07
"Pls do that Bc I like watching talking tom and friends and U TOOK SEASON ONE AWAY! So plsss do that Bc I like the show and wanna watch more episodes not just the same thing everyday so pls Netflix -ADD ALL TALKING TOM SEASONS
And DONT TAKE OUT KID DANGER ANG TALL GIRL",2023-01-07
"Not the app, but Netflix in general. Won’t let you watch it on another device in another house. For example, on vacation for a week at the beach in a condo. Can’t sign into Netflix on the TV in the condo because it’s not part of the household. Go F yourself Netflix.",2023-01-05
My Netflix app will not save where I am in a season every time I pause it takes me to a random episode in wrong season and I have to scroll and read every episode tab to find where I was at every time. Please if anyone has any advice how to fix it. Grateful 🤞,2023-01-04
GIVE ME BACK MY LORAX I BEEN WAITING AND WAITING FOR MY LORAX TO COME BACK ON HERE AND ITS STILL NOT WHY DID YOU EVEN TAKE IT OFF IN THE FIRST PLACE THIS IS WHY THAT PEACOCK APP IS BETTER BESIDES ALL THE ADS JUST PUT THE LORAX BACK ON NOW OR ELSE I WILL SUE,2023-01-06
Unless you have a brand new iOS device that can run iOS 16 or later you can’t use this app. It is absolutely useless and worthless if you do not have a brand spanking new Apple device. Absolutely outrageous. Thanks Netflix for the fraudulent bait and switch,2023-01-07
"For $19.99 a month Netflix has nothing compared to Hulu. I remember when Netflix had all the good shows Family Guy, The Simpsons all of that for a lower price. And the audacity to raise the price but not the quality of the shows?? Entitled and so greedy.",2023-01-05
